,Price
0,1.75
1,12.5
2,4.5
3,6.0
4,17.74
5,2.35
6,3.5
7,17.5
8,5.2
9,1.95
10,9.95
11,4.49
12,5.6
13,27.0
14,17.5
15,15.0
16,5.4
17,5.99
18,6.34
19,28.0
20,18.55
21,8.25
22,23.5
23,1.87
24,2.85
25,4.25
26,4.25
27,2.75
28,9.9
29,4.0
30,7.75
31,6.75
32,12.5
33,11.5
34,6.98
35,1.85
36,8.63
37,4.85
38,28.0
39,5.0
40,1.25
41,1.53
42,5.58
43,4.74
44,8.85
45,10.11
46,4.25
47,10.95
48,3.85
49,5.5
50,21.43
51,4.25
52,3.3
53,3.85
54,3.6
55,3.99
56,3.3
57,2.07
58,7.75
59,2.25
60,16.5
61,2.75
62,26.7
63,10.0
64,2.5
65,13.5
66,1.85
67,35.67
68,8.15
69,10.5
70,14.5
71,9.65
72,3.48
73,6.92
74,6.46
75,29.5
76,4.5
77,11.75
78,3.75
79,4.5
80,4.82
81,2.8
82,3.11
83,3.25
84,13.9
85,2.25
86,5.75
87,5.0
88,16.5
89,39.58
90,5.5
91,8.1
92,3.5
93,2.79
94,3.45
95,4.45
96,2.65
97,3.8
98,4.65
99,3.95
100,9.8
101,2.7
102,2.41
103,3.9
104,24.0
105,5.75
106,5.25
107,19.25
108,3.91
109,2.15
110,20.75
111,3.35
112,11.11
113,20.0
114,6.55
115,7.0
116,7.5
117,16.75
118,10.95
119,2.45
120,3.23
121,7.75
122,9.35
123,3.25
124,5.25
125,7.25
126,7.47
127,13.25
128,5.81
129,2.6
130,54.0
131,11.5
132,1.6
133,17.22
134,6.0
135,3.95
136,17.95
137,3.7
138,5.43
139,13.49
140,2.85
141,4.75
142,9.9
143,37.0
144,26.5
145,23.32
146,6.25
147,30.0
148,9.86
149,8.5
150,4.23
151,3.5
152,2.5
153,2.39
154,11.25
155,7.11
156,10.9
157,6.2
158,7.9
159,4.42
160,13.5
161,6.25
162,2.1
163,45.0
164,33.66
165,3.65
166,2.75
167,42.5
168,6.5
169,19.0
170,4.45
171,23.0
172,8.35
173,22.95
174,1.5
175,6.89
176,1.45
177,33.5
178,1.25
179,4.2
180,6.75
181,32.0
182,7.5
183,4.6
184,4.04
185,10.31
186,55.76
187,2.6
188,8.5
189,3.5
190,3.55
191,3.25
192,4.5
193,5.35
194,6.5
195,9.0
196,6.0
197,2.75
198,1.5
199,19.9
200,10.0
201,3.0
202,11.96
203,3.25
204,4.75
205,5.95
206,8.15
207,4.22
208,10.5
209,45.0
210,2.9
211,8.9
212,26.0
213,8.22
214,3.5
215,1.25
216,3.7
217,39.41
218,2.65
219,8.92
220,35.67
221,0.85
222,3.32
223,3.6
224,6.8
225,2.5
226,19.64
227,7.0
228,3.87
229,6.27
230,18.12
231,2.65
232,7.2
233,14.3
234,6.9
235,10.75
236,8.09
237,18.5
238,4.75
239,8.45
240,3.5
241,1.8
242,3.7
243,7.17
244,1.75
245,21.99
246,18.65
247,1.85
248,5.95
249,3.75
250,3.75
251,2.6
252,2.8
253,61.29
254,18.0
255,4.35
256,13.75
257,2.0
258,10.0
259,1.65
260,45.77
261,3.25
262,12.8
263,0.55
264,7.15
265,7.0
266,3.75
267,8.5
268,4.35
269,3.26
270,4.21
271,70.36
272,2.95
273,4.28
274,3.57
275,3.11
276,5.96
277,4.7
278,6.9
279,5.25
280,28.0
281,1.35
282,4.85
283,6.7
284,3.1
285,18.64
286,2.8
287,20.25
288,26.78
289,8.26
290,3.89
291,2.1
292,12.69
293,2.58
294,20.77
295,20.26
296,4.25
297,57.0
298,44.0
299,3.65
300,2.05
301,3.13
302,1.5
303,2.85
304,2.65
305,10.6
306,1.25
307,8.25
308,4.45
309,3.7
310,2.8
311,1.8
312,21.95
313,49.0
314,62.67
315,1.4
316,5.5
317,2.95
318,6.86
319,6.15
320,3.3
321,2.55
322,1.5
323,2.5
324,1.4
325,3.4
326,2.25
327,7.5
328,2.8
329,7.66
330,7.15
331,3.5
332,3.5
333,3.45
334,3.55
335,25.99
336,5.25
337,2.9
338,2.05
339,3.75
340,6.75
341,0.95
342,52.0
343,3.91
344,27.3
345,2.7
346,3.5
347,6.2
348,2.75
349,3.25
350,3.25
351,0.65
352,35.0
353,3.25
354,2.9
355,2.9
356,17.75
357,8.25
358,5.77
359,9.49
360,12.95
361,20.0
362,1.0
363,7.1
364,16.5
365,26.0
366,3.2
367,9.48
368,4.0
369,26.5
370,11.77
371,37.0
372,8.75
373,3.75
374,2.5
375,34.5
376,4.65
377,32.0
378,62.81
379,3.25
380,3.1
381,3.91
382,11.0
383,3.5
384,16.5
385,30.0
386,28.0
387,28.0
388,0.92
389,2.75
390,53.83
391,4.95
392,33.5
393,27.95
394,7.25
395,25.71
396,29.67
397,19.0
398,13.05
399,25.5
400,8.5
401,7.25
402,0.8
403,6.9
404,70.99
405,2.25
406,5.5
407,4.35
408,2.25
409,24.5
410,12.03
411,8.5
412,28.5
413,5.75
414,3.2
415,9.89
416,6.58
417,4.06
418,13.37
419,25.82
420,3.74
421,22.0
422,1.45
423,2.0
424,4.7
425,3.75
426,7.7
427,2.6
428,13.77
429,7.1
430,2.65
431,2.5
432,7.53
433,7.98
434,39.0
435,2.25
436,3.85
437,13.5
438,3.5
439,8.92
440,20.37
441,36.5
442,48.91
443,7.2
444,5.99
445,5.25
446,6.5
447,4.4
448,4.6
449,2.95
450,3.26
451,2.22
452,10.5
453,8.26
454,14.45
455,51.43
456,23.0
457,5.5
458,4.5
459,6.8
460,8.75
461,7.0
462,33.5
463,2.25
464,4.24
465,28.42
466,2.75
467,3.0
468,3.55
469,4.8
470,13.5
471,56.0
472,3.99
473,15.5
474,2.32
475,18.58
476,5.5
477,3.2
478,4.0
479,1.6
480,4.15
481,4.25
482,2.6
483,3.43
484,2.55
485,32.0
486,6.25
487,3.6
488,18.5
489,4.25
490,4.8
491,13.0
492,2.25
493,2.3
494,13.56
495,12.25
496,3.76
497,8.58
498,27.5
499,4.95
500,3.3
501,8.0
502,2.79
503,45.64
504,2.55
505,1.0
506,37.56
507,9.29
508,6.37
509,2.98
510,5.75
511,13.0
512,6.8
513,10.49
514,5.6
515,2.85
516,8.36
517,1.0
518,10.75
519,3.85
520,3.0
521,9.6
522,13.25
523,5.75
524,6.75
525,4.85
526,38.99
527,2.85
528,9.51
529,18.5
530,6.75
531,29.4
532,3.29
533,9.5
534,2.2
535,6.5
536,4.9
537,6.75
538,3.8
539,29.5
540,10.5
541,6.2
542,5.0
543,2.3
544,17.0
545,25.5
546,5.65
547,5.6
548,29.98
549,7.39
550,19.0
551,5.0
552,3.35
553,4.45
554,8.31
555,6.0
556,5.25
557,12.3
558,1.5
559,8.12
560,6.12
561,10.88
562,3.5
563,6.15
564,33.0
565,13.5
566,17.11
567,29.77
568,5.95
569,5.75
570,19.0
571,4.75
572,3.3
573,16.5
574,44.0
575,4.39
576,6.2
577,24.22
578,5.45
579,44.0
580,24.82
581,11.69
582,20.0
583,1.45
584,48.5
585,9.45
586,12.5
587,6.9
588,5.8
589,44.56
590,8.5
591,10.7
592,12.0
593,2.44
594,1.95
595,4.35
596,17.5
597,2.9
598,2.9
599,8.9
600,16.75
601,3.95
602,2.1
603,4.29
604,3.85
605,9.0
606,4.5
607,12.46
608,4.65
609,20.5
610,2.9
611,1.45
612,29.5
613,25.0
614,3.5
615,11.25
616,10.79
617,5.9
618,5.12
619,5.7
620,35.84
621,1.25
622,2.65
623,9.19
624,23.5
625,12.5
626,1.5
627,8.1
628,9.75
629,37.93
630,1.96
631,20.5
632,2.75
633,75.0
634,2.8
635,9.25
636,3.0
637,23.89
638,12.75
639,4.15
640,4.65
641,8.9
642,1.5
643,3.27
644,18.0
645,6.3
646,11.31
647,6.16
648,6.0
649,5.43
650,4.65
651,7.5
652,6.25
653,9.25
654,3.15
655,2.3
656,5.25
657,7.4
658,1.55
659,6.0
660,5.9
661,4.7
662,6.5
663,3.55
664,7.1
665,6.0
666,7.99
667,4.1
668,3.95
669,4.38
670,2.75
671,55.54
672,29.0
673,6.6
674,6.99
675,18.75
676,1.28
677,1.2
678,4.31
679,16.5
680,5.64
681,31.12
682,25.46
683,7.88
684,36.0
685,30.0
686,2.85
687,3.5
688,7.5
689,19.0
690,54.0
691,4.7
692,8.5
693,17.0
694,3.51
695,19.5
696,17.0
697,43.35
698,2.65
699,3.52
700,6.25
701,24.75
702,5.25
703,11.0
704,9.1
705,3.25
706,8.5
707,3.1
708,19.86
709,4.9
710,5.7
711,2.9
712,7.83
713,8.15
714,2.0
715,6.25
716,3.19
717,7.75
718,3.2
719,4.9
720,3.8
721,4.0
722,23.5
723,1.15
724,10.65
725,35.68
726,31.94
727,4.2
728,9.9
729,15.46
730,8.46
731,3.25
732,2.6
733,5.2
734,1.8
735,1.6
736,2.5
737,2.5
738,6.7
739,1.2
740,35.55
741,7.75
742,1.94
743,2.2
744,3.8
745,15.65
746,39.47
747,1.5
748,8.85
749,17.9
750,5.08
751,6.25
752,22.75
753,1.46
754,2.05
755,4.08
756,4.55
757,14.0
758,10.9
759,2.45
760,15.8
761,8.25
762,8.5
763,15.54
764,2.35
765,4.32
766,3.9
767,5.2
768,5.85
769,6.25
770,17.63
771,9.75
772,55.0
773,4.1
774,11.99
775,13.54
776,56.0
777,6.5
778,4.75
779,5.6
780,29.2
781,6.35
782,4.95
783,8.5
784,4.5
785,5.5
786,6.56
787,2.3
788,3.5
789,4.55
790,7.75
791,5.25
792,23.29
793,23.99
794,1.79
795,13.9
796,18.95
797,2.49
798,3.15
799,6.45
800,4.25
801,2.75
802,7.14
803,3.5
804,7.3
805,2.75
806,8.2
807,6.51
808,4.25
809,6.21
810,4.58
811,7.5
812,2.1
813,4.09
814,10.75
815,41.5
816,4.4
817,6.25
818,10.5
819,7.25
820,3.2
821,3.95
822,12.07
823,18.6
824,5.7
825,1.75
826,10.99
827,14.5
828,3.11
829,13.96
830,7.11
831,6.9
832,7.77
833,5.5
834,5.35
835,4.5
836,4.75
837,32.8
838,0.7
839,50.29
840,10.99
841,5.57
842,5.9
843,9.43
844,2.9
845,3.68
846,21.67
847,12.5
848,19.92
849,6.75
850,6.96
851,3.25
852,8.65
853,5.0
854,5.5
855,2.6
856,3.41
857,2.7
858,5.5
859,35.0
860,9.75
861,4.25
862,3.2
863,6.85
864,4.5
865,3.55
866,1.9
867,3.6
868,21.8
869,13.5
870,2.66
871,3.75
872,32.0
873,8.07
874,5.64
875,23.99
876,7.5
877,27.0
878,2.85
879,6.35
880,3.3
881,5.0
882,6.46
883,3.75
884,1.52
885,3.61
886,43.74
887,20.0
888,3.65
889,5.25
890,58.0
891,8.65
892,2.5
893,7.75
894,4.15
895,10.85
896,5.53
897,11.5
898,9.25
899,2.29
900,7.0
901,1.65
902,8.25
903,9.14
904,6.5
905,5.75
906,2.85
907,2.1
908,13.55
909,20.5
910,20.0
911,59.72
912,6.5
913,7.5
914,2.15
915,8.44
916,12.49
917,5.48
918,4.2
919,7.2
920,4.8
921,5.83
922,18.39
923,5.85
924,6.21
925,3.65
926,3.7
927,30.0
928,4.85
929,6.93
930,2.6
931,1.89
932,39.5
933,10.0
934,9.95
935,9.45
936,28.25
937,1.8
938,1.4
939,7.25
940,3.6
941,1.2
942,4.94
943,1.25
944,4.8
945,31.15
946,3.3
947,2.4
948,2.0
949,3.1
950,5.09
951,1.05
952,7.0
953,2.5
954,17.5
955,2.1
956,17.75
957,1.45
958,2.45
959,13.8
960,5.85
961,8.9
962,5.15
963,16.56
964,1.65
965,16.0
966,1.45
967,8.08
968,4.5
969,4.3
970,2.6
971,4.45
972,5.37
973,1.75
974,16.5
975,19.0
976,2.8
977,6.2
978,3.8
979,6.1
980,11.65
981,4.15
982,16.5
983,4.3
984,2.25
985,6.75
986,9.4
987,5.39
988,8.51
989,1.85
990,2.5
991,4.75
992,3.5
993,5.5
994,6.33
995,2.47
996,3.3
997,3.5
998,38.75
999,7.99
1000,13.28
1001,9.5
1002,14.01
1003,6.99
1004,11.0
1005,11.0
1006,2.3
1007,26.5
1008,67.0
1009,17.75
1010,4.8
1011,4.57
1012,3.5
1013,7.61
1014,25.0
1015,5.88
1016,13.5
1017,4.6
1018,4.9
1019,5.25
1020,12.41
1021,3.8
1022,8.95
1023,7.2
1024,4.5
1025,4.15
1026,7.94
1027,7.25
1028,3.7
1029,2.45
1030,1.5
1031,12.0
1032,2.2
1033,3.6
1034,1.92
1035,20.5
1036,4.25
1037,3.2
1038,3.85
1039,3.48
1040,4.55
1041,7.0
1042,5.75
1043,8.73
1044,1.7
1045,29.5
1046,10.49
1047,64.0
1048,7.55
1049,3.95
1050,3.25
1051,2.75
1052,7.35
1053,4.7
1054,8.77
1055,3.42
1056,2.5
1057,20.0
1058,5.25
1059,14.5
1060,3.45
1061,3.3
1062,51.0
1063,6.5
1064,3.65
1065,7.25
1066,6.01
1067,2.8
1068,4.0
1069,5.95
1070,9.2
1071,5.35
1072,12.0
1073,38.94
1074,2.69
1075,27.5
1076,2.75
1077,2.8
1078,6.45
1079,5.88
1080,4.65
1081,2.5
1082,51.35
1083,6.85
1084,5.25
1085,9.23
1086,22.0
1087,5.19
1088,4.35
1089,24.5
1090,5.75
1091,9.19
1092,10.75
1093,2.99
1094,3.89
1095,11.73
1096,3.11
1097,14.45
1098,8.7
1099,5.04
1100,8.5
1101,15.65
1102,5.65
1103,16.5
1104,2.0
1105,3.9
1106,14.5
1107,44.0
1108,5.0
1109,19.75
1110,11.44
1111,1.75
1112,30.42
1113,9.57
1114,3.5
1115,10.46
1116,4.85
1117,5.68
1118,13.25
1119,16.0
1120,3.0
1121,5.0
1122,4.75
1123,5.35
1124,5.98
1125,3.5
1126,4.77
1127,5.45
1128,6.85
1129,7.3
1130,1.25
1131,8.25
1132,2.71
1133,3.6
1134,3.0
1135,4.65
1136,9.5
1137,2.95
1138,3.0
1139,5.95
1140,4.0
1141,2.5
1142,11.37
1143,2.25
1144,3.1
1145,17.18
1146,6.5
1147,5.7
1148,8.0
1149,2.6
1150,2.45
1151,11.57
1152,2.3
1153,5.9
1154,7.2
1155,5.9
1156,6.0
1157,1.95
1158,6.55
1159,25.0
1160,2.65
1161,69.5
1162,14.0
1163,2.1
1164,20.4
1165,5.68
1166,5.55
1167,12.75
1168,3.35
1169,1.55
1170,5.9
1171,18.98
1172,11.51
1173,7.75
1174,13.9
1175,1.35
1176,38.0
1177,11.6
1178,12.25
1179,3.8
1180,3.25
1181,6.4
1182,3.95
1183,3.57
1184,1.25
1185,3.65
1186,12.5
1187,23.0
1188,1.35
1189,6.32
1190,3.4
1191,0.77
1192,0.9
1193,18.0
1194,19.0
1195,1.1
1196,2.0
1197,6.5
1198,9.45
1199,4.0
1200,32.25
1201,2.1
1202,9.75
1203,6.3
1204,21.0
1205,4.65
1206,17.0
1207,4.35
1208,14.82
1209,40.0
1210,6.15
1211,11.25
1212,32.0
1213,45.62
1214,6.24
1215,4.8
1216,4.5
1217,3.87
1218,2.75
1219,6.57
1220,2.0
1221,3.65
1222,6.95
1223,5.5
1224,7.0
1225,24.0
1226,11.0
1227,32.5
1228,6.45
1229,15.75
1230,5.5
1231,19.03
1232,15.25
1233,2.4
1234,2.3
1235,14.35
1236,3.5
1237,11.97
1238,18.9
1239,5.4
1240,2.95
1241,5.1
1242,1.5
1243,4.9
1244,2.9
1245,1.15
1246,2.3
1247,5.99
1248,3.4
1249,1.7
1250,1.99
1251,2.5
1252,4.85
1253,2.65
1254,27.35
1255,6.9
1256,3.5
1257,12.5
1258,9.2
1259,4.9
1260,5.55
1261,13.5
1262,2.6
1263,4.5
1264,34.0
1265,12.0
1266,5.25
1267,21.56
1268,24.68
1269,3.67
1270,29.5
1271,3.1
1272,2.9
1273,43.0
1274,15.95
1275,4.5
1276,3.49
1277,4.25
1278,1.9
1279,16.57
1280,5.75
1281,14.0
1282,2.5
1283,1.2
1284,13.95
1285,1.6
1286,3.6
1287,4.5
1288,6.06
1289,5.29
1290,5.75
1291,5.72
1292,4.39
1293,11.05
1294,4.83
1295,2.96
1296,4.5
1297,19.5
1298,8.75
1299,67.0
1300,8.4
1301,4.99
1302,8.18
1303,2.9
1304,7.1
1305,7.05
1306,17.5
1307,3.41
1308,5.68
1309,4.1
1310,4.0
1311,30.0
1312,1.8
1313,6.93
1314,70.0
1315,7.9
1316,2.78
1317,14.4
1318,13.5
1319,3.15
1320,2.88
1321,2.15
1322,3.75
1323,3.6
1324,3.6
1325,7.55
1326,4.7
1327,1.6
1328,3.34
1329,9.1
1330,6.17
1331,2.5
1332,3.0
1333,5.75
1334,10.75
1335,2.85
1336,6.5
1337,9.45
1338,6.75
1339,7.75
1340,4.4
1341,42.0
1342,5.67
1343,11.5
1344,1.69
1345,1.8
1346,3.2
1347,45.86
1348,5.1
1349,2.4
1350,22.0
1351,4.28
1352,5.67
1353,6.2
1354,14.49
1355,3.0
1356,2.25
1357,43.78
1358,11.45
1359,10.5
1360,7.48
1361,3.1
1362,2.55
1363,3.5
1364,2.59
1365,5.45
1366,6.0
1367,15.49
1368,12.5
1369,4.75
1370,7.85
1371,6.0
1372,4.0
1373,28.75
1374,2.5
1375,5.5
1376,1.59
1377,6.22
1378,2.75
1379,25.0
1380,2.8
1381,2.45
1382,6.35
1383,8.0
1384,8.25
1385,5.95
1386,19.92
1387,3.15
1388,5.75
1389,32.44
1390,8.01
1391,6.48
1392,0.75
1393,5.0
1394,7.75
1395,2.6
1396,9.2
1397,5.05
1398,9.6
1399,5.5
1400,9.35
1401,2.6
1402,3.5
1403,4.26
1404,4.25
1405,11.75
1406,3.5
1407,7.5
1408,3.25
1409,4.9
1410,27.0
1411,8.91
1412,6.69
1413,6.02
1414,4.5
1415,2.0
1416,2.4
1417,1.2
1418,2.9
1419,27.0
1420,7.5
1421,1.5
1422,39.5
1423,3.39
1424,12.4
1425,6.85
1426,5.75
1427,2.0
1428,0.9
1429,3.8
1430,16.35
1431,16.5
1432,8.7
1433,6.1
1434,21.94
1435,22.0
1436,2.65
1437,5.27
1438,2.48
1439,6.0
1440,8.9
1441,18.0
1442,11.64
1443,8.99
1444,5.25
1445,2.95
1446,2.65
1447,4.0
1448,12.5
1449,3.25
1450,4.0
1451,6.25
1452,5.8
1453,5.0
1454,58.73
1455,17.49
1456,1.95
1457,3.0
1458,5.5
1459,16.5
1460,14.5
1461,7.79
1462,8.27
1463,97.07
1464,2.15
1465,3.0
1466,28.79
1467,5.45
1468,3.95
1469,16.0
1470,4.25
1471,34.5
1472,2.6
1473,13.48
1474,32.1
1475,6.17
1476,5.5
1477,9.15
1478,4.5
1479,10.5
1480,5.37
1481,5.45
1482,9.25
1483,7.7
1484,7.99
1485,3.0
1486,4.0
1487,6.69
1488,4.25
1489,10.5
1490,22.55
1491,5.2
1492,11.87
1493,6.99
1494,5.0
1495,44.0
1496,2.79
1497,2.9
1498,9.85
1499,49.0
1500,9.25
1501,3.75
1502,7.29
1503,23.5
1504,2.6
1505,3.1
1506,29.98
1507,6.73
1508,3.5
1509,2.35
1510,16.13
1511,5.9
1512,3.9
1513,6.95
1514,7.0
1515,7.23
1516,3.81
1517,4.5
1518,12.6
1519,48.0
1520,2.96
1521,3.25
1522,8.5
1523,8.75
1524,3.08
1525,41.5
1526,7.0
1527,11.5
1528,2.6
1529,4.3
1530,8.35
1531,24.9
1532,13.75
1533,3.85
1534,23.25
1535,5.75
1536,1.65
1537,6.5
1538,7.5
1539,72.94
1540,11.0
1541,3.02
1542,3.32
1543,3.24
1544,2.35
1545,5.5
1546,6.75
1547,6.15
1548,5.45
1549,2.3
1550,6.21
1551,5.21
1552,11.99
1553,3.1
1554,7.5
1555,4.0
1556,7.73
1557,7.8
1558,1.3
1559,4.42
1560,4.0
1561,13.0
1562,5.38
1563,3.25
1564,3.87
1565,8.25
1566,9.28
1567,6.25
1568,1.15
1569,7.8
1570,4.5
1571,7.56
1572,16.08
1573,4.5
1574,5.0
1575,2.2
1576,4.0
1577,2.51
1578,4.75
1579,2.0
1580,2.1
1581,6.25
1582,10.6
1583,6.0
1584,0.45
1585,2.5
1586,12.75
1587,30.29
1588,1.6
1589,7.54
1590,6.84
1591,6.0
1592,8.0
1593,24.74
1594,5.5
1595,36.0
1596,11.79
1597,3.0
1598,6.75
1599,1.4
1600,5.75
1601,3.4
1602,4.89
1603,4.95
1604,3.49
1605,6.35
1606,7.08
1607,38.0
1608,6.25
1609,10.15
1610,10.75
1611,4.65
1612,4.75
1613,7.78
1614,6.75
1615,2.99
1616,2.35
1617,3.65
